model,baseline,horizon,metric,error_model,error_baseline,skill,n_forecasts
integer,seasonal_naive_12,12,MAE,1951.183078170772,1016.1538461538462,-0.9201650277229398,13
integer,SARIMA,1,RMSE,1185.7961452738227,535.5474099013728,-1.2141758569837928,13
integer,SARIMA,1,MAE,1052.2441001777142,443.75531032457945,-1.371225933968121,13
integer,SARIMA,2,RMSE,1281.0705766942465,595.8271489669029,-1.1500708366771777,13
integer,SARIMA,2,MAE,1164.036880504358,479.89175759456066,-1.4256238247121575,13
integer,SARIMA,3,RMSE,1530.8819375378198,725.7840762087603,-1.109280139534896,13
integer,SARIMA,3,MAE,1386.1562181595857,629.7906718034269,-1.2009792780675528,13
integer,SARIMA,4,RMSE,1574.963502449497,841.7129415623646,-0.8711408898217636,13
integer,SARIMA,4,MAE,1444.8331388520578,712.3437696016268,-1.028280726958657,13
integer,SARIMA,5,RMSE,1710.9663217874263,939.6535498611166,-0.8208480370667595,13
integer,SARIMA,5,MAE,1603.760149316074,846.6801357904603,-0.8941747674507612,13
integer,SARIMA,6,RMSE,1770.6973516166754,1022.4205466077988,-0.7318679260618537,13
integer,SARIMA,6,MAE,1700.168169700039,941.781720493969,-0.8052677522858402,13
integer,SARIMA,7,RMSE,1858.585227477182,1096.024089582696,-0.6957521692655735,13
integer,SARIMA,7,MAE,1808.5188488462009,994.9613849980556,-0.8176774255914818,13
integer,SARIMA,8,RMSE,2009.1860191470505,1161.5784418864696,-0.7297032612657803,13
integer,SARIMA,8,MAE,1945.6584166507416,1080.8371616388647,-0.8001401929043181,13
integer,SARIMA,9,RMSE,2037.3157976001908,1213.9590975945955,-0.6782408910127524,13
integer,SARIMA,9,MAE,1975.50999684476,1113.7148738801668,-0.773802292827527,13
integer,SARIMA,10,RMSE,2041.6810832995695,1242.8052137492132,-0.6428005456626307,13
integer,SARIMA,10,MAE,1986.2274573414873,1120.1467920642776,-0.7731849713028605,13
integer,SARIMA,11,RMSE,2048.762832824167,1291.7963394529736,-0.5859797479312723,13
integer,SARIMA,11,MAE,1984.810798317552,1170.939613753741,-0.6950582036888671,13
integer,SARIMA,12,RMSE,2022.4920716180495,1283.5829386002322,-0.5756613856394897,13
integer,SARIMA,12,MAE,1951.183078170772,1127.155185854274,-0.731068714102544,13
